,description,go_BioProc,go_CellComp,go_MolFunc,proteinname,sysname
1226,"G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis",regulation of cyclin-dependent protein serine/threonine kinase activity,nucleus,cyclin-dependent protein serine/threonine kinase regulator activity,CLN3,YAL040C
1227,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery,biological_process unknown,nuclear pore,molecular_function unknown,YGR026W,YGR026W
1228,Essential subunit of the Mms21-Smc5-Smc6 complex; protein of unknown function; required for DNA repair and growth,DNA repair,nucleus,DNA binding,NSE3,YDR288W
1229,One of three beta subunits of the Snf1 serine/threonine protein kinase complex involved in the response to glucose starvation; null mutants exhibit accelerated aging; N-myristoylprotein localized to the cytoplasm and the plasma membrane,replicative cell aging,cytoplasm,AMP-activated protein kinase activity,SIP2,YGL208W
1230,Mitochondrial ribosomal protein of the large subunit; appears as two protein spots (YmL10 and YmL18) on two-dimensional SDS gels,translation,mitochondrion,structural constituent of ribosome,MRPL10,YNL284C
1231,"Nitrilase, member of the nitrilase branch of the nitrilase superfamily; in closely related species and other S. cerevisiae strain backgrounds YIL164C and adjacent ORF, YIL165C, likely constitute a single ORF encoding a nitrilase gene",nitrogen compound metabolic process,cellular_component unknown,nitrilase activity,NIT1,YIL164C
1232,"Lumazine synthase (6,7-dimethyl-8-ribityllumazine synthase, also known as DMRL synthase); catalyzes synthesis of immediate precursor to riboflavin",riboflavin biosynthetic process,nucleus,"6,7-dimethyl-8-ribityllumazine synthase activity",RIB4,YOL143C
1233,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YBR197C is not an essential gene,biological_process unknown,nucleus,molecular_function unknown,YBR197C,YBR197C
1234,"RNA helicase in the DEAD-box family, necessary for prespliceosome formation, bridges U1 and U2 snRNPs and enables stable U2 snRNP association with intron RNA",mRNA branch site recognition,nucleus,nucleotide binding,PRP5,YBR237W
1235,mitochondrial ribosomal protein of the large subunit,cytoplasmic translation,intracellular,RNA binding,MRPL6,YHR147C
1236,"Asparagine synthetase, isozyme of Asn1p; catalyzes the synthesis of L-asparagine from L-aspartate in the asparagine biosynthetic pathway",asparagine biosynthetic process,cytoplasm,nucleotide binding,ASN2,YGR124W
1237,"U3 snoRNP protein, component of the small (ribosomal) subunit (SSU) processosome containing U3 snoRNA; required for the biogenesis of18S rRNA","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",nucleus,mRNA binding,NAN1,YPL126W
1238,Putative protein of unknown function with some similarity to sialidase from Trypanosoma; YMR317W is not an essential gene,biological_process unknown,cellular_component unknown,molecular_function unknown,YMR317W,YMR317W
1239,"GTPase-activating protein, stimulates the GTPase activity of Sar1p; component of the Sec23p-Sec24p heterodimer of the COPII vesicle coat, involved in ER to Golgi transport",regulation of COPII vesicle coating,Golgi membrane,GTPase activator activity,SEC23,YPR181C
1240,"Rhodanese domain sulfur transferase, accepts persulfite from Nfs1p and transfers it to Uba4p in the pathway for 2-thiolation of the wobble uridine base of tRNAs; also stimulates sulfur transfer by Nfs1p; may be mitochondrially localized",tRNA wobble uridine modification,cytoplasm,thiosulfate sulfurtransferase activity,TUM1,YOR251C
1241,"Component of the ESCRT-I complex, which is involved in ubiquitin-dependent sorting of proteins into the endosome; homologous to the mouse and human Tsg101 tumor susceptibility gene; mutants exhibit a Class E Vps phenotype",cellular protein modification process,ESCRT I complex,acid-amino acid ligase activity,STP22,YCL008C
1242,Protein involved in the repair of double-strand breaks in DNA during vegetative growth via recombination and single-strand annealing; anneals complementary single-stranded DNA; homologous to Rad52p,telomere maintenance via recombination,nucleus,protein binding,RAD59,YDL059C
1243,"Putative transporter, member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters",amino acid transmembrane transport,vacuole,molecular_function unknown,AVT2,YEL064C
1244,S-adenosylmethionine-dependent methyltransferase of the seven beta-strand family; required for wybutosine formation in phenylalanine-accepting tRNA,tRNA processing,cytoplasm,S-adenosylmethionine-dependent methyltransferase activity,TRM12,YML005W
1245,"Protein of unknown function, has similarity to enolases",glycolytic process,phosphopyruvate hydratase complex,magnesium ion binding,ERR1,YOR393W
1246,"ATP-dependent DEAD (Asp-Glu-Ala-Asp)-box RNA helicase, required for translation initiation of all yeast mRNAs; mutations in human DEAD-box DBY are a frequent cause of male infertility",spliceosomal complex disassembly,nucleus,nucleotide binding,DED1,YOR204W
1247,"Ubiquitin-conjugating enzyme that negatively regulates gluconeogenesis by mediating the glucose-induced ubiquitination of fructose-1,6-bisphosphatase (FBPase); cytoplasmic enzyme that catalyzes the ubiquitination of histones in vitro",protein polyubiquitination,cytoplasm,nucleotide binding,UBC8,YEL012W
1248,"HDEL receptor, an integral membrane protein that binds to the HDEL motif in proteins destined for retention in the endoplasmic reticulum; has a role in maintenance of normal levels of ER-resident proteins",protein retention in ER lumen,endoplasmic reticulum,HDEL sequence binding,ERD2,YBL040C
1249,"Ribosomal protein P2 beta, a component of the ribosomal stalk, which is involved in the interaction between translational elongation factors and the ribosome; regulates the accumulation of P1 (Rpp1Ap and Rpp1Bp) in the cytoplasm",cytoplasmic translation,fungal-type vacuole,structural constituent of ribosome,RPP2B,YDR382W
1250,"Protein component of the large (60S) ribosomal subunit, identical to Rpl43Bp and has similarity to rat L37a ribosomal protein; null mutation confers a dominant lethal phenotype",cytoplasmic translation,intracellular,structural constituent of ribosome,RPL43A,YPR043W
1251,Essential protein involved in 60S ribosome maturation; ortholog of the human protein (SBDS) responsible for autosomal recessive Shwachman-Bodian-Diamond Syndrome; highly conserved across archae and eukaryotes,rRNA processing,nucleus,molecular_function unknown,SDO1,YLR022C
1252,"Alpha1,2-mannosyltransferase of the Golgi involved in protein mannosylation",cell wall mannoprotein biosynthetic process,Golgi membrane,"alpha-1,2-mannosyltransferase activity",KRE2,YDR483W
1253,Mitochondrial beta-keto-acyl synthase with possible role in fatty acid synthesis; required for mitochondrial respiration,lipid metabolic process,mitochondrion,catalytic activity,CEM1,YER061C
1254,"5,10-methenyltetrahydrofolate synthetase, involved in folic acid biosynthesis",folic acid-containing compound biosynthetic process,mitochondrion,nucleotide binding,FAU1,YER183C
1255,Protein that inhibits Doa4p deubiquitinating activity; contributes to ubiquitin homeostasis by regulating the conversion of free ubiquitin chains to ubiquitin monomers by Doa4p; GFP-fusion protein localizes to endosomes,negative regulation of peptidase activity,endosome,enzyme inhibitor activity,RFU1,YLR073C
1256,Subunit of the NuA4 histone acetyltransferase complex that acetylates histone H4 and H2A; has similarity to the human tumor suppressor ING1 and its isoforms ING4 and ING5,DNA repair,nucleus,histone acetyltransferase activity,YNG2,YHR090C
1257,"Mitochondrial NADP-specific isocitrate dehydrogenase, catalyzes the oxidation of isocitrate to alpha-ketoglutarate; not required for mitochondrial respiration and may function to divert alpha-ketoglutarate to biosynthetic processes",glyoxylate cycle,mitochondrion,magnesium ion binding,IDP1,YDL066W
1258,"Cadmium transporting P-type ATPase; may also have a role in copper and iron homeostasis; stabilized by Cd binding, which prevents ubiquitination; S288C and other lab strains contain a G970R mutation which eliminates Cd transport function",transport,proteasome core complex,nucleotide binding,PCA1,YBR295W
1259,"Serine/threonine MAP kinase; involved in regulating maintenance of cell wall integrity, progression through the cell cycle, and nuclear mRNA retention in heat shock; required for mitophagy and pexophagy; affects recruitment of mitochondria to the phagophore assembly site (PAS); regulated by the PKC1-mediated signaling pathway",MAPK cascade,nucleus,nucleotide binding,SLT2,YHR030C
1260,Cell wall mannoprotein of the Srp1p/Tip1p family of serine-alanine-rich proteins; expressed under anaerobic conditions and required for anaerobic growth,response to stress,fungal-type vacuole,molecular_function unknown,TIR3,YIL011W
1261,Ubiquitin-protein ligase; involved in the proteasome-dependent degradation of aberrant nuclear proteins; targets substrates with regions of exposed hydrophobicity containing 5 or more contiguous hydrophobic residues; contains intrinsically disordered regions that contribute to substrate recognition,protein polyubiquitination,nucleus,ubiquitin-protein transferase activity,SAN1,YDR143C
1262,Translation elongation factor eIF-5A that may function in translation initiation; similar to and functionally redundant with Anb1p; structural homolog of bacterial EF-P; undergoes an essential hypusination modification,translation,cytoplasm,RNA binding,HYP2,YEL034W
1263,Protein component of the small (40S) ribosomal subunit; overproduction suppresses mutations affecting RNA polymerase III-dependent transcription; has similarity to E. coli S10 and rat S20 ribosomal proteins,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",intracellular,RNA binding,RPS20,YHL015W
1264,"Saccharopine dehydrogenase (NADP+, L-glutamate-forming); catalyzes the formation of saccharopine from alpha-aminoadipate 6-semialdehyde, the seventh step in lysine biosynthesis pathway; exhibits genetic and physical interactions with TRM112",generation of precursor metabolites and energy,cytoplasm,nucleotide binding,LYS9,YNR050C
1265,"Protein involved in 5' end processing of mitochondrial COB, 15S_rRNA, and RPM1 transcripts; may also have a role in 3' end processing of the COB pre-mRNA; displays genetic interaction with cell cycle-regulated kinase Dbf2p",rRNA processing,mitochondrion,molecular_function unknown,CBT1,YKL208W
1266,"Peroxisomal integral membrane protein, involved in negative regulation of peroxisome size; partially functionally redundant with Pex30p and Pex32p; probably acts at a step downstream of steps mediated by Pex28p and Pex29p",peroxisome organization,peroxisome,molecular_function unknown,PEX31,YGR004W
1267,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase, involved in ubiquinone (Coenzyme Q) biosynthesis; localizes to the matrix face of the mitochondrial inner membrane in a large complex with other ubiquinone biosynthetic enzymes",ubiquinone biosynthetic process,mitochondrion,methyltransferase activity,COQ5,YML110C
